,Business,City,Price,Review,ID
0,Acme Barbershop,Seattle,2,5,9RA7sdvrGrK6QkEsevrMQw
1,Acme Barbershop,Seattle,2,5,9RA7sdvrGrK6QkEsevrMQw
2,Acme Barbershop,Seattle,2,5,9RA7sdvrGrK6QkEsevrMQw
3,Rudy's Barbershop,Seattle,2,5,alnUjQudDUZS-WpdyY6vqw
4,Rudy's Barbershop,Seattle,2,1,alnUjQudDUZS-WpdyY6vqw
5,Rudy's Barbershop,Seattle,2,5,alnUjQudDUZS-WpdyY6vqw
6,Gary Manuel Studio,Seattle,2,5,jFIxui3XL27NvIiDMxPfIg
7,Gary Manuel Studio,Seattle,2,5,jFIxui3XL27NvIiDMxPfIg
8,Gary Manuel Studio,Seattle,2,2,jFIxui3XL27NvIiDMxPfIg
9,Sports Hair Salon,Seattle,1,5,GpAJe04uCg6m1JxZP9Ljxw
10,Sports Hair Salon,Seattle,1,5,GpAJe04uCg6m1JxZP9Ljxw
11,Sports Hair Salon,Seattle,1,5,GpAJe04uCg6m1JxZP9Ljxw
12,Squire Barber Shop,Seattle,2,5,qCGIxiXqv4CvdlfNnpa00w
13,Squire Barber Shop,Seattle,2,1,qCGIxiXqv4CvdlfNnpa00w
14,Squire Barber Shop,Seattle,2,5,qCGIxiXqv4CvdlfNnpa00w
15,Rudy's Barbershop,Seattle,2,5,v5FdjtpzDtvyidDHuQ6ylQ
16,Rudy's Barbershop,Seattle,2,1,v5FdjtpzDtvyidDHuQ6ylQ
17,Rudy's Barbershop,Seattle,2,3,v5FdjtpzDtvyidDHuQ6ylQ
18,Rudy's Barbershop,Seattle,2,5,fIwa8N7KWqm_WdSjiB6r9g
19,Rudy's Barbershop,Seattle,2,1,fIwa8N7KWqm_WdSjiB6r9g
20,Rudy's Barbershop,Seattle,2,5,fIwa8N7KWqm_WdSjiB6r9g
21,Raven,Seattle,2,5,fcyG6SXuJ9elu3aVtyip3A
22,Raven,Seattle,2,5,fcyG6SXuJ9elu3aVtyip3A
23,Raven,Seattle,2,5,fcyG6SXuJ9elu3aVtyip3A
24,Rudy's Barbershop,Seattle,2,5,FEYUCxUzZAFh1uIn6b8K6A
25,Rudy's Barbershop,Seattle,2,5,FEYUCxUzZAFh1uIn6b8K6A
26,Rudy's Barbershop,Seattle,2,1,FEYUCxUzZAFh1uIn6b8K6A
27,Hardware Salon,Seattle,1,5,6xjd7_QmXD2hTsRKkVXl6A
28,Hardware Salon,Seattle,1,5,6xjd7_QmXD2hTsRKkVXl6A
29,Hardware Salon,Seattle,1,1,6xjd7_QmXD2hTsRKkVXl6A
30,Capelli's Gentlemen's Barbershop,Seattle,3,5,zwD-Z12WSzao3KfZmHJvSw
31,Capelli's Gentlemen's Barbershop,Seattle,3,5,zwD-Z12WSzao3KfZmHJvSw
32,Capelli's Gentlemen's Barbershop,Seattle,3,1,zwD-Z12WSzao3KfZmHJvSw
